eid,autocitas_intragrupo,citaciones_intragrupo_total
2-s2.0-85116374562,0,0
2-s2.0-85059341424,1,1
2-s2.0-85070190963,7,8
2-s2.0-85073275783,0,0
2-s2.0-85065807202,1,1
2-s2.0-85063261087,4,4
2-s2.0-85073676727,4,5
2-s2.0-85078615402,5,9
2-s2.0-85073444959,1,1
2-s2.0-85059674200,1,4
2-s2.0-85059798062,2,2
2-s2.0-85091823321,0,0
2-s2.0-85082816297,0,0
2-s2.0-85078688055,0,0
2-s2.0-85082535401,0,0
2-s2.0-85086024489,0,0
2-s2.0-85089852660,1,1
2-s2.0-85077791662,1,1
2-s2.0-85090256161,4,4
2-s2.0-85082411828,0,0
2-s2.0-85074763423,0,2
2-s2.0-85090624401,1,1
2-s2.0-85082136744,1,1
2-s2.0-85088125560,5,6
2-s2.0-85075505243,1,1
2-s2.0-85080862262,3,3
2-s2.0-85077170066,10,10
2-s2.0-85078944204,0,0
2-s2.0-85076996708,4,4
2-s2.0-85095688846,0,0
2-s2.0-85084431447,7,7
2-s2.0-85084303239,0,0
2-s2.0-85073819316,3,3
2-s2.0-85091358114,0,0
2-s2.0-85104231547,0,0
2-s2.0-85076745504,2,2
2-s2.0-85082135142,0,0
2-s2.0-85087204018,1,1
2-s2.0-85083008950,1,1
2-s2.0-85087175968,0,0
2-s2.0-85079149263,1,1
2-s2.0-85091567540,12,12
2-s2.0-85103923585,3,3
2-s2.0-85087982295,0,0
2-s2.0-85089614014,0,0
2-s2.0-85078259332,0,0
2-s2.0-85082008187,2,2
2-s2.0-85087327934,0,0
2-s2.0-85099147998,0,0
2-s2.0-85084450844,1,3
2-s2.0-85089218558,0,2
2-s2.0-85086985806,0,0
2-s2.0-85108971313,1,1
2-s2.0-85075854026,2,2
2-s2.0-85089109459,0,0
2-s2.0-85075868429,0,0
2-s2.0-85086634351,13,13
2-s2.0-85084949383,0,0
2-s2.0-85083294110,0,0
2-s2.0-85096879658,2,3
2-s2.0-85079405109,0,0
2-s2.0-85089681764,0,0
2-s2.0-85090750121,0,0
2-s2.0-85088782367,4,4
2-s2.0-85078204153,0,0
2-s2.0-85080098477,0,0
2-s2.0-85144272242,0,0
2-s2.0-85081650434,9,9
2-s2.0-85089740890,3,3
2-s2.0-85064349685,9,9
2-s2.0-85091353029,0,0
2-s2.0-85126952886,0,0
2-s2.0-85117112621,0,3
2-s2.0-85111326938,0,0
2-s2.0-85095417585,0,0
2-s2.0-85119043814,0,0
2-s2.0-85102650364,0,0
2-s2.0-85117812832,1,1
2-s2.0-85111565615,1,1
2-s2.0-85078587540,8,20
2-s2.0-85107160458,0,0
2-s2.0-85125119223,0,0
2-s2.0-85109443300,2,2
2-s2.0-85091217844,6,6
2-s2.0-85121424691,2,4
2-s2.0-85107194102,0,0
2-s2.0-85106694735,1,1
2-s2.0-85107076180,0,0
2-s2.0-85112359698,0,0
2-s2.0-85100963200,0,0
2-s2.0-85103791204,0,0
2-s2.0-85118365662,0,0
2-s2.0-85094561642,1,1
2-s2.0-85099940765,0,0
2-s2.0-85121529556,3,3
2-s2.0-85121112413,0,0
2-s2.0-85095418371,1,1
2-s2.0-85112743698,8,8
2-s2.0-85146120995,0,0
2-s2.0-85112615445,3,3
2-s2.0-85121500604,5,5
2-s2.0-85106988600,1,1
2-s2.0-85117268712,3,3
2-s2.0-85096402051,3,3
2-s2.0-85089080322,1,2
2-s2.0-85103670189,0,0
2-s2.0-85105909370,7,7
2-s2.0-85108606405,1,1
2-s2.0-85113218198,0,1
2-s2.0-85100520685,1,1
2-s2.0-85096665193,5,5
2-s2.0-85118706992,0,0
2-s2.0-85114622813,0,0
2-s2.0-85105334043,2,2
2-s2.0-85099694283,6,6
2-s2.0-85076919606,0,0
2-s2.0-85120668983,1,1
2-s2.0-85117850985,0,0
2-s2.0-85101433548,0,0
2-s2.0-85103550506,0,0
2-s2.0-85106533186,1,2
2-s2.0-85111584718,0,0
2-s2.0-85117304975,4,4
2-s2.0-85100031219,4,8
2-s2.0-85113947459,0,0
2-s2.0-85128278855,0,1
2-s2.0-85115148483,1,1
2-s2.0-85102597200,0,0
2-s2.0-85098075890,7,7
2-s2.0-85099229098,0,0
2-s2.0-85108317997,4,4
2-s2.0-85102246023,0,0
2-s2.0-85107687446,1,1
2-s2.0-85100971237,6,6
2-s2.0-85102689240,4,4
2-s2.0-85121486390,0,0
2-s2.0-85103454188,9,9
2-s2.0-85142790893,0,0
2-s2.0-85119897010,2,2
2-s2.0-85145022592,1,1
2-s2.0-85142914675,0,0
2-s2.0-85130739717,0,0
2-s2.0-85147534057,0,0
2-s2.0-85124373925,0,0
2-s2.0-85154622245,0,0
2-s2.0-85127953366,0,0
2-s2.0-85134474908,0,1
2-s2.0-85126618566,2,2
2-s2.0-85128478792,0,0
2-s2.0-85134836644,1,1
2-s2.0-85134881125,0,0
2-s2.0-85138610154,1,1
2-s2.0-85137094353,4,5
2-s2.0-85142262759,2,2
2-s2.0-85139330695,0,0
2-s2.0-85137758990,1,1
2-s2.0-85121287211,0,0
2-s2.0-85140813875,0,0
2-s2.0-85124940427,8,8
2-s2.0-85127700468,1,1
2-s2.0-85137764163,1,1
2-s2.0-85138167890,3,3
2-s2.0-85122661524,1,2
2-s2.0-85113169787,0,0
2-s2.0-85128902855,0,0
2-s2.0-85123605907,0,0
2-s2.0-85115811392,2,4
2-s2.0-85130865240,0,0
2-s2.0-85112337830,0,0
2-s2.0-85136120769,0,0
2-s2.0-85143643428,0,0
2-s2.0-85141791229,0,0
2-s2.0-85096556104,3,3
2-s2.0-85142231083,5,5
2-s2.0-85139913967,0,0
2-s2.0-85126533926,3,3
2-s2.0-85081715131,5,15
2-s2.0-85140909590,0,0
2-s2.0-85137039016,0,0
2-s2.0-85144611608,0,0
2-s2.0-85103501651,1,2
2-s2.0-85137147972,0,0
2-s2.0-85144571178,2,4
2-s2.0-85124215401,3,3
2-s2.0-85117931730,0,0
2-s2.0-85114098097,0,0
2-s2.0-85127767318,0,0
2-s2.0-85135260275,1,4
2-s2.0-85139142380,0,0
2-s2.0-85122955073,0,0
2-s2.0-85117116982,0,0
2-s2.0-85127983203,0,0
2-s2.0-85138780633,0,0
2-s2.0-85142876588,0,0
2-s2.0-85149229319,1,1
2-s2.0-85141414537,5,5
2-s2.0-85132445882,0,0
2-s2.0-85122065467,0,1
2-s2.0-85129296528,1,1
2-s2.0-85108362780,1,1
2-s2.0-85120422997,1,1
2-s2.0-85128035554,3,9
2-s2.0-85114750920,0,0
2-s2.0-85143889313,0,0
2-s2.0-85124099188,1,1
2-s2.0-85123127438,4,4
2-s2.0-85123908335,0,0
2-s2.0-85138656003,0,0
2-s2.0-85123269516,0,0
2-s2.0-85133717049,2,2
2-s2.0-85133159318,6,6
2-s2.0-85123632943,1,1
2-s2.0-85140883961,0,0
2-s2.0-85124011348,3,3
2-s2.0-85145204362,0,0
2-s2.0-85141744739,0,0
2-s2.0-85152251936,2,2
2-s2.0-85168420238,0,0
2-s2.0-85151114279,2,2
2-s2.0-85146819895,3,3
2-s2.0-85165151190,0,0
2-s2.0-85146002191,1,1
2-s2.0-85145194233,0,0
2-s2.0-85148244340,1,1
2-s2.0-85182516852,0,0
2-s2.0-85180940245,1,1
2-s2.0-85150478020,0,0
2-s2.0-85144620941,0,0
2-s2.0-85143541549,1,1
2-s2.0-85166744439,0,0
2-s2.0-85175494482,0,0
2-s2.0-85152741372,0,0
2-s2.0-85146049650,0,1
2-s2.0-85174437794,0,0
2-s2.0-85160607956,3,3
2-s2.0-85148942754,3,3
2-s2.0-85147176755,1,1
2-s2.0-85163997218,1,1
2-s2.0-85170665090,0,0
2-s2.0-85165207237,0,0
2-s2.0-85151732137,0,1
2-s2.0-85152788152,1,1
2-s2.0-85154545374,1,1
2-s2.0-85172481283,0,0
2-s2.0-85205911893,0,0
2-s2.0-85148884878,0,0
2-s2.0-85165641937,0,0
2-s2.0-85148210313,0,0
2-s2.0-85158045982,0,0
2-s2.0-85159712936,1,1
2-s2.0-85179311709,0,0
2-s2.0-85159872529,0,0
2-s2.0-85124718446,2,2
2-s2.0-85172911363,2,2
2-s2.0-85147154984,0,0
2-s2.0-85152953610,0,0
2-s2.0-85154614099,0,0
2-s2.0-85156191795,0,0
2-s2.0-85144172698,2,2
2-s2.0-85164846401,0,0
2-s2.0-85180564017,0,0
2-s2.0-85163338760,0,0
2-s2.0-85161861357,0,0
2-s2.0-85147271626,2,2
2-s2.0-85150415027,0,0
2-s2.0-85143271436,1,1
2-s2.0-85141063380,2,2
2-s2.0-85166394880,1,1
2-s2.0-85168946795,0,0
2-s2.0-85151378422,2,2
2-s2.0-85148422135,1,1
2-s2.0-85150919600,2,2
2-s2.0-85175012787,0,0
2-s2.0-85153854046,0,0
2-s2.0-85161383153,1,1
2-s2.0-85173941142,0,0
2-s2.0-85174098031,0,0
2-s2.0-85145679303,0,0
2-s2.0-85150242517,0,0
2-s2.0-85166341309,0,0
2-s2.0-85166655671,2,2
2-s2.0-85149269454,4,4
2-s2.0-85151260493,0,0
2-s2.0-85154032945,0,0
2-s2.0-85180299572,0,0
2-s2.0-85179335478,0,0
2-s2.0-85162635944,0,0
2-s2.0-85147197292,5,5
2-s2.0-85149271334,1,1
2-s2.0-85167747781,0,0
2-s2.0-85177487659,1,1
2-s2.0-85136473430,0,0
2-s2.0-85152598417,1,1
2-s2.0-85174023226,0,0
2-s2.0-85144257686,1,1
2-s2.0-85137450220,1,1
2-s2.0-85126069341,1,6
2-s2.0-85207660911,0,0
2-s2.0-85210001303,0,0
2-s2.0-85207687273,0,0
2-s2.0-85205267599,0,0
2-s2.0-85196005846,0,0
2-s2.0-85200166872,0,0
2-s2.0-85198344561,0,0
2-s2.0-85192135825,0,0
2-s2.0-85195192455,0,0
2-s2.0-85200953021,0,0
2-s2.0-85187792941,2,2
2-s2.0-85196655539,0,0
2-s2.0-85210007056,0,0
2-s2.0-85210262460,0,0
2-s2.0-85182273249,0,0
2-s2.0-85183006961,0,0
2-s2.0-85198447757,1,1
2-s2.0-85185118887,0,0
2-s2.0-85178894804,0,0
2-s2.0-85188418922,0,0
2-s2.0-85216016036,0,0
2-s2.0-85210593256,0,0
